scientificName,species,order,NAME_0,NAME_1,TYPE_1,ENGTYPE_1,DEP_ID,year,basisOfRecord,elevation,regbio,longitude,latitude,region
"Noctilio leporinus (Linnaeus, 1758)",Noctilio leporinus,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,101,27,-70.211845,6.037564,3
"Phyllostomus latifolius (Thomas, 1901)",Phyllostomus latifolius,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,NA,Especimen,107,27,-70.238889,5.661389,3
"Rhinophylla pumilio Peters, 1865",Rhinophylla pumilio,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,101,27,-70.211845,6.037564,3
"Saccopteryx leptura (Schreber, 1774)",Saccopteryx leptura,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,102,27,-70.233555,5.999058,3
"Thyroptera devivoi Gregorin, Goncalves, Lim & Engstrom, 2006",Thyroptera devivoi,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,101,27,-70.211845,6.037564,3
"Vampyriscus bidens (Dobson, 1878)",Vampyriscus bidens,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,108,27,-70.156072,6.095869,3
"Didelphis marsupialis Linnaeus, 1758",Didelphis marsupialis,Didelphimorphia,Colombia,Arauca,Intendencia,Intendancy,COL_3,NA,Especimen,115,27,-70.530629,6.611495,3
"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Hydrochoerus hydrochaeris,Rodentia,Colombia,Arauca,Intendencia,Intendancy,COL_3,NA,Especimen,169,27,-71.520831,6.188889,3
"Oligoryzomys delicatus (J.A.Allen & Chapman, 1897)",Oligoryzomys delicatus,Rodentia,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,114,27,-70.6867,5.6209,3
"Sigmodon alstoni (Thomas, 1881)",Sigmodon alstoni,Rodentia,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,114,27,-70.6867,5.6209,3
"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,Rodentia,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,99,27,-70.2268,6.0088,3
"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,Artiodactyla,Colombia,Casanare,Intendencia,Intendancy,COL_10,2018,Fotografia,717,28,-72.48099,5.46897,3
"Eira barbara (Linnaeus, 1758)",Eira barbara,Carnivora,Colombia,Boyaca,Departamento,Department,COL_6,2019,Fotografia,1093,28,-72.38681,5.51906,2
"Eira barbara (Linnaeus, 1758)",Eira barbara,Carnivora,Colombia,Casanare,Intendencia,Intendancy,COL_10,2019,Fotografia,1546,28,-72.42515,5.52407,3
"Leopardus wiedii (Schinz, 1821)",Leopardus wiedii,Carnivora,Colombia,Boyaca,Departamento,Department,COL_6,2019,Fotografia,1093,28,-72.38553,5.52125,2
"Lontra longicaudis (Olfers, 1818)",Lontra longicaudis,Carnivora,Colombia,Meta,Departamento,Department,COL_20,1990,Especimen,700,28,-73.86215,3.81198,3
"Nasua nasua (Linnaeus, 1766)",Nasua nasua,Carnivora,Colombia,Meta,Departamento,Department,COL_20,1990,Especimen,700,28,-73.86215,3.81198,3
"Potos flavus (Schreber, 1774)",Potos flavus,Carnivora,Colombia,Meta,Departamento,Department,COL_20,1990,Especimen,700,28,-73.86215,3.81198,3
"Herpailurus yagouaroundi (�.Geoffroy Saint-Hilaire, 1803)",Puma yagouaroundi,Carnivora,Colombia,Meta,Departamento,Department,COL_20,1950,Especimen,482,28,-73.564367,4.261764,3
"Anoura cultrata Handley, 1960",Anoura cultrata,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1580,28,-72.863,5.253306,3
"Anoura cultrata Handley, 1960",Anoura cultrata,Chiroptera,Colombia,Boyaca,Departamento,Department,COL_6,1999,Especimen,828,28,-73.32576,4.76605,2
"Anoura cultrata Handley, 1960",Anoura cultrata,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1988,Especimen,798,28,-73.5894,4.29175,3
"Anoura geoffroyi Gray, 1838",Anoura geoffroyi,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1098,28,-72.165917,5.797111,3
"Anoura luismanueli Molinari, 1994",Anoura luismanueli,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,941,28,-71.943333,6.401806,3
"Artibeus amplus Handley, 1987",Artibeus amplus,Chiroptera,Colombia,Boyaca,Departamento,Department,COL_6,2000,Especimen,841,28,-73.2486,4.88111,2
"Artibeus jamaicensis Leach, 1821",Artibeus jamaicensis,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,804,28,-71.926389,6.384361,3
"Artibeus lituratus (Olfers, 1818)",Artibeus lituratus,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,293,28,-71.76725,6.277056,3
"Artibeus lituratus (Olfers, 1818)",Artibeus lituratus,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2015,Especimen,568,28,-73.391861,4.433944,2
"Artibeus obscurus (Schinz, 1821)",Artibeus obscurus,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Artibeus planirostris (Spix, 1823)",Artibeus planirostris,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2015,Especimen,568,28,-73.391861,4.433944,2
"Artibeus planirostris (Spix, 1823)",Artibeus planirostris,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,295,28,-71.772222,6.330167,3
"Carollia brevicauda (Schinz, 1821)",Carollia brevicauda,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Carollia brevicauda (Schinz, 1821)",Carollia brevicauda,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,323,28,-71.778111,6.283528,3
"Carollia castanea H.Allen, 1890",Carollia castanea,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Carollia perspicillata (Linnaeus, 1758)",Carollia perspicillata,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Carollia perspicillata (Linnaeus, 1758)",Carollia perspicillata,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,295,28,-71.772222,6.330167,3
"Chiroderma salvini Dobson, 1878",Chiroderma salvini,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1996,Especimen,697,28,-73.86418,3.79928,3
"Chiroderma villosum Peters, 1860",Chiroderma villosum,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,180,28,-71.603833,6.198953,3
"Choeroniscus godmani (Thomas, 1903)",Choeroniscus godmani,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,1994,Especimen,472,28,-73.55605,4.26866,2
"Cynomops planirostris (Peters, 1866)",Cynomops planirostris,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,1994,Especimen,472,28,-73.55605,4.26866,2
"Cyttarops alecto Thomas, 1913",Cyttarops alecto,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,180,28,-71.603833,6.198953,3
"Dermanura bogotensis (K.Andersen, 1906)",Dermanura bogotensis,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,323,28,-71.778111,6.283528,3
"Dermanura phaeotis Miller, 1902",Dermanura phaeotis,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,941,28,-71.943333,6.401806,3
"Dermanura phaeotis Miller, 1902",Dermanura phaeotis,Chiroptera,Colombia,Boyaca,Departamento,Department,COL_6,2003,Especimen,1471,28,-73.2865,4.8572,2
"Desmodus rotundus (E.Geoffroy, 1810)",Desmodus rotundus,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Desmodus rotundus (E.Geoffroy, 1810)",Desmodus rotundus,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,521,28,-71.821944,6.35675,3
"Diphylla ecaudata Spix, 1823",Diphylla ecaudata,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1580,28,-72.863,5.253306,3
"Enchisthenes hartii (Thomas, 1892)",Enchisthenes hartii,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1988,Especimen,912,28,-73.5957,4.27516,3
"Eptesicus brasiliensis (Desmarest, 1819)",Eptesicus brasiliensis,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,385,28,-71.864833,6.269778,3
"Eptesicus brasiliensis (Desmarest, 1819)",Eptesicus brasiliensis,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,1995,Especimen,472,28,-73.55605,4.26866,2
"Eptesicus furinalis (d'Orbigny, 1847)",Eptesicus furinalis,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,180,28,-71.601125,6.197683,3
"Eumops glaucinus (Wagner, 1843)",Eumops glaucinus,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,128,28,-70.9884,6.807222,3
"Mimon crenulatum (E.Geoffroy, 1803)",Gardnerycteris crenulatum,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,180,28,-71.603833,6.198953,3
"Glossophaga soricina (Pallas, 1766)",Glossophaga soricina,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,323,28,-71.778111,6.283528,3
"Lampronycteris brachyotis (Dobson, 1879)",Lampronycteris brachyotis,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,180,28,-71.603833,6.198953,3
"Lonchophylla orienticollina D�valos & Corthals, 2008",Lonchophylla orienticollina,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1580,28,-72.863,5.253306,3
"Lonchophylla orienticollina D�valos & Corthals, 2008",Lonchophylla orienticollina,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1996,Especimen,697,28,-73.86418,3.79928,3
"Lonchophylla orienticollina D�valos & Corthals, 2008",Lonchophylla orienticollina,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,1989,Especimen,647,28,-73.369972,4.542142,2
"Lonchophylla robusta Miller, 1912",Lonchophylla robusta,Chiroptera,Colombia,Boyaca,Departamento,Department,COL_6,2003,Especimen,1471,28,-73.2865,4.8572,2
"Lophostoma brasiliense Peters, 1867",Lophostoma brasiliense,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,293,28,-71.76725,6.277056,3
"Lophostoma brasiliense Peters, 1867",Lophostoma brasiliense,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1996,Especimen,697,28,-73.86418,3.79928,3
"Mesophylla macconnelli Thomas, 1901",Mesophylla macconnelli,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Mesophylla macconnelli Thomas, 1901",Mesophylla macconnelli,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,179,28,-71.616294,6.216944,3
"Micronycteris hirsuta (Peters, 1869)",Micronycteris hirsuta,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,941,28,-71.943333,6.401806,3
"Micronycteris hirsuta (Peters, 1869)",Micronycteris hirsuta,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1996,Especimen,785,28,-73.87046,3.81668,3
"Micronycteris megalotis (Gray, 1842)",Micronycteris megalotis,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1318,28,-72.825694,5.249778,3
"Micronycteris megalotis (Gray, 1842)",Micronycteris megalotis,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,178,28,-71.565367,6.216419,3
"Micronycteris microtis Miller, 1898",Micronycteris microtis,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Micronycteris microtis Miller, 1898",Micronycteris microtis,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,181,28,-71.566833,6.222533,3
"Micronycteris minuta (Gervais, 1856)",Micronycteris minuta,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,179,28,-71.616294,6.216944,3
"Molossops temminckii (Burmeister, 1854)",Molossops temmincki,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,129,28,-70.9844,6.821111,3
"Molossus currentium Thomas, 1901",Molossus bondae,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,1994,Especimen,472,28,-73.55605,4.26866,2
"Molossus bondae J.A.Allen, 1904",Molossus bondae,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1989,Especimen,798,28,-73.5894,4.29175,3
"Molossus pretiosus Miller, 1902",Molossus pretiosus,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,128,28,-70.9884,6.806917,3
"Molossus pretiosus Miller, 1902",Molossus pretiosus,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,1990,Especimen,472,28,-73.55605,4.26866,2
"Myotis albescens (E.Geoffroy, 1806)",Myotis albescens,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2013,Especimen,130,28,-70.9884,6.872222,3
"Myotis keaysi J.A.Allen, 1914",Myotis keaysi,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1580,28,-72.863,5.253306,3
"Myotis nigricans (Schinz, 1821)",Myotis nigricans,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
